domain_hr	sent_en
www.galerijagalzenica.info	1740
www.dzs.hr	1737
bitfalls.com	1736
repozitorij.pravos.unios.hr	1735
silverstripe.fkit.hr	1716
www.10winds.com	1710
www.kvarner-imobilije.hr	1707
www.zagorjebike.com.hr	1704
www.maranta.hr	1702
randonneurs.bksvn.hr	1694
www.schooleducationgateway.eu	1692
www.millennium-nekretnine.hr	1678
burza.com.hr	1678
www.poliklinikabagatin.hr	1677
spb.com.hr	1674
webarhiv.hzz.hr	1672
angelus-art.net	1660
repozitorij.ptfos.hr	1657
mint.gov.hr	1656
www.cropex.hr	1644
www.unicef.org	1642
www.periodni.com	1638
sudacka-mreza.hr	1625
www.ikea.com	1601
eizg.hr	1601
www.foi.unizg.hr	1592
enciklopedija.hr	1589
feeds.croatia.hr	1556
www.discover-dalmatia.hr	1551
www.dalmatia.hr	1536
www.supernova-zadar.hr	1535
www.dubrovnikportal.com	1532
www.adplastik.hr	1529
www.peljesacinfo.com	1528
repozitorij.fer.unizg.hr	1524
www.croatianhistory.net	1520
www.sumfak.unizg.hr	1515
www.aminess.com	1503
www.aspira.hr	1498
www.kontoimmobilia.hr	1495
www.dw.com	1495
split.svjetlost.hr	1488
studentski.hr	1477
www.jgl.hr	1476
casopis-gradjevinar.hr	1467
www.casopis-gradjevinar.hr	1464
icua.hr	1454
ekovjesnik.hr	1453
www.hia.com.hr	1448
alfatec.hr	1440
www.ami-pula.hr	1438
www.zagrebsecurityforum.com	1423
www.fzoeu.hr	1418
www.liburniafilmfestival.com	1388
cromalternativemoney.org	1386
lider.hr	1384
dubrovnikinsider.hr	1380
www.franck.eu	1378
theta.ffzg.hr	1373
zadar-dienst.hr	1370
zelena-akcija.hr	1363
zg-magazin.com.hr	1357
www.np-krka.hr	1357
www.valturist.hr	1352
www.mall.hr	1352
krkrealestate.hr	1342
www.ante-diem.hr	1337
www.zumtobel.com	1336
www.poslovniforum.hr	1331
www.pedala.hr	1320
www.rba.hr	1320
dziv.hr	1319
miss7zdrava.24sata.hr	1316
udruge.gov.hr	1315
www.iarh.hr	1314
histrica.com	1313
edupoint.carnet.hr	1313
malalan.eu	1309
www.opatija.net	1307
www.jutarnji.hr	1306
www.lenovo.com	1303
dracopro.com	1303
silentfew.com	1293
phralipen.hr	1288
bruketa-zinic.com	1287
www.sava-hotels-resorts.com	1283
www.amcham.hr	1282
www.edusinfo.hr	1269
www.hotcorner.hr	1269
www.moj-posao.net	1264
hgzd.hr	1262
repozitorij.foozos.hr	1261
www.uhpa.hr	1256
support.mozilla.org	1254
www.terme-krka.com	1251
www.portaloko.hr	1248
bib.irb.hr	1237
www.bug.hr	1236
objektivno.hr	1226
knezovic.com.hr	1226
mingor.gov.hr	1224
www.webasto-comfort.com	1224
privacy.microsoft.com	1222
www.prestige-nekretnine.com	1216
nautilus.hr	1216
www.otok-pag.hr	1215
www.slatkopedija.hr	1214
www.life-vuk.hr	1214
flash.hr	1211
ardubotics.eu	1210
www.discoverdinarides.com	1207
porec-immobilien.hr	1206
www.hrstud.unizg.hr	1199
www.rrif.hr	1198
nenasilje.org	1198
www.miva.com.hr	1197
www.tim-kabel.hr	1192
mojtv.hr	1186
www.mozaweb.com	1186
www.smileconceptstore.hr	1184
psihologija.ffzg.unizg.hr	1184
beodom.com	1183
www.ideaputovanja.hr	1176
croatian-photography.com	1176
www.hrsume.hr	1174
www.efzg.unizg.hr	1161
support.polar.com	1161
np-plitvicka-jezera.hr	1150
metro-portal.hr	1146
www.smart-invest.hr	1144
www.mipro.hr	1131
www.aroundzagreb.hr	1120
www.mirakul-adria.hr	1119
repozitorij.gradst.unist.hr	1118
sabor.hr	1108
www.travelino.hr	1107
www.supernova-gardenmall.hr	1107
www.gw-world.com	1101
hrturizam.hr	1099
www.zaba.hr	1099
tockanai.hr	1094
www.unios.hr	1081
www.rovinj-tourism.com	1078
www.stotinka.hr	1078
studiacroatica.blogspot.com	1078
www.coface.hr	1071
www.alternativnahistorija.com	1071
crosol.hr	1068
www.losinj-hotels.com	1066
www.057info.hr	1064
repozitorij.pfos.hr	1064
www.istracamping.com	1063
repozitorij.fpz.unizg.hr	1063
suvlin.ffzg.hr	1063
repozitorij.unin.hr	1058
oris.hr	1058
www.zagreb-touristinfo.hr	1050
blog.coloursofistria.com	1050
www.sper.hr	1044
www.adriagate.com	1038
zakon.hr	1037
poezija.darkbb.com	1034
www.croatiarevealed.com	1031
www.ums-agram.hr	1028
shoes.hr	1022
www.pag-tourist-service.hr	1021
www.vukovarfilmfestival.com	1020
tris.com.hr	1020
arhiva.www.unipu.hr	1018
www.eppgroup.eu	1015
www.zadarskilist.hr	1015
www.plavalaguna.com	1009
poliklinika-arcadia.hr	1004
webhosting-wmd.hr	1001
2tm.eu	994
www.sony.hr	991
www.erf.unizg.hr	990
www.hrvatski-fokus.hr	987
ika.hkm.hr	987
vizkultura.hr	986
mmpi.gov.hr	983
www.muzej-rijeka.hr	976
www.gardena.com	971
www.poslovni.hr	967
www.pk.hr	967
www.ey.com	966
www.sensa.hr	962
www.apple.com	960
www.aminess-campsites.com	960
czzs.org	960
made-in-croatia.com.hr	957
www.epostshop.hr	953
www.vecernji.hr	953
www.plavi-andeo.hr	948
newsletter.etwinning.net	945
www.krenizdravo.hr	942
www.meblo.hr	935
www.amway.hr	932
www.dpd.com	931
057info.hr	928
