domain_sl	sent_en
www.lenovo.com	1579
www.zgodbice.net	1579
www.rap-ing.si	1570
www.extremevital.com	1561
www.obmorju.si	1561
www.varuh-rs.si	1560
www.nikon.si	1557
isjfr.zrc-sazu.si	1550
centerslo.si	1548
www.globetrotter.si	1527
www.aminess.com	1526
www.visit-trzic.com	1523
www.zdruzenjeobcin.si	1521
www.pespoti.si	1519
www.kocevsko.com	1501
www.koroska.si	1500
kw.si	1496
www.re-max.si	1474
www.pikolin.si	1474
www.rovinj-tourism.com	1471
www.sng-mb.si	1468
www.amway.si	1459
www.carmina-slovenica.si	1459
www.fm-kp.si	1454
arhiv.akos-rs.si	1452
e-uprava.gov.si	1446
mm-arhiv.si	1443
iri.uni-lj.si	1438
bistra.si	1423
visitkoper.si	1404
www.igorzabel.org	1403
www.mojaobcina.si	1394
www.mladina.si	1392
jernejkitchen.com	1390
fri.uni-lj.si	1384
www.kulturnidom-ng.si	1375
www.jazmp.si	1372
www.tint.fs.uni-lj.si	1369
zkp.rtvslo.si	1362
www.zrs-kp.si	1361
www.ostro.si	1359
www.adriakombi.si	1336
www.eu-skladi.si	1336
www.kamra.si	1333
www.trgovina-apinature.si	1320
factorystore.si	1320
ppz.uni-lj.si	1320
www.ugm.si	1311
www.ayurveda101.si	1296
dinalpbear.eu	1296
obzornik.zbornica-zveza.si	1292
www.cipra.org	1289
ijs.si	1271
www.alpconv.org	1265
portalvvesolje.si	1261
www.burger.si	1260
www.thermana.si	1256
old.zag.si	1255
www.moja-lekarna.com	1252
www.wellion.si	1246
www.upr.si	1243
deloindom.delo.si	1243
www.zaveza.si	1240
www.expano.si	1238
iza2.zrc-sazu.si	1238
www.ita-slo.eu	1237
beta.publishwall.si	1230
sharing.org	1229
www.mojaslovenija.si	1227
www.student.si	1220
www.theatre-architecture.eu	1206
www.poslovni-bazar.si	1195
www.resinex.si	1195
www.terme-krka.com	1195
www.norwaygrants.si	1194
www.allo-tolerance.eu	1190
www.molitev.net	1182
www.slovenia-convention.com	1182
www.jakrs.si	1180
www.visitcelje.eu	1180
www.elea.si	1178
www.iskra-pio.si	1178
kranjska-gora.si	1177
www.eset.com	1171
www.agencia.si	1168
isllv.zrc-sazu.si	1167
epale.ec.europa.eu	1166
www.senica.si	1165
www.primorske.si	1165
www.fmf.uni-lj.si	1164
r4.ijs.si	1160
www.smar-team-org.si	1157
www.schlamberger.si	1156
sud.si	1153
www.katoliski-institut.si	1150
www.webasto-comfort.com	1147
www.kw.si	1145
www.pef.uni-lj.si	1142
wiki.potnik.si	1141
www.user-participation.eu	1141
www.soca-valley.com	1139
slo-tech.com	1135
www.regionalobala.si	1135
www.druzinski-izleti.si	1128
urbani-izziv.uirs.si	1125
oz.cobiss.si	1123
www.franck.eu	1110
www.rocker.si	1109
istyle.si	1107
repozitorij.uni-lj.si	1107
novice.svet24.si	1104
ninainvalentin.si	1102
aksioma.org	1099
videolectures.net	1095
www.spy-shop.si	1094
newsletter.etwinning.net	1093
www.zdruzenje-manager.si	1092
podatki.gov.si	1084
mglc-lj.si	1083
www.delo.si	1081
data.si	1080
www.muziker.si	1078
www.startup.si	1077
cosec.nuk.uni-lj.si	1073
www.mimovrste.com	1066
www.hoteli-bernardin.si	1064
www.zelenikras.si	1063
www.vntheatre.com	1054
www.regionalgoriska.si	1053
startup-plus.podjetniskisklad.si	1052
www.uil-sipo.si	1052
www.gradtur.si	1051
www.adp.fdv.uni-lj.si	1050
www.mf.uni-lj.si	1050
www.zvkds.si	1047
www.feelif.com	1046
www.maya.si	1045
www.blog.uporabnastran.si	1044
www.cirkulacija2.org	1044
www.tol-muzej.si	1042
spyshop.shopamine.si	1041
www.zpiz.si	1040
www.krk-info.com	1034
sailcity.com	1033
ita-slo.eu	1033
www.aminess-campsites.com	1032
www.znanjesveta.com	1029
www.btc.si	1024
www.zelenaslovenija.si	1022
www.bohinj.si	1012
www.novogradnje.si	1009
www.pef.upr.si	1008
kakadu.si	1005
labraj.feri.um.si	1003
www.sava.si	997
www.dj-slovenija.si	995
www.promet.si	995
www.lex-localis.info	995
www.lekarnar.com	989
kons-platforma.org	982
tecos.si	979
ptich.si	978
www.rojal.si	978
www.eurogarden.eu	974
iza.zrc-sazu.si	972
www.energetika.net	969
www.dunlop.eu	965
www.sta.si	965
www.geavis.si	962
firerescue.center	960
www.umar.si	960
ltfe.org	960
www.ikea.com	956
www.europcar.si	950
www.findinfo.si	949
citymagazine.si	949
www.seltron.eu	948
product-selection.grundfos.com	948
www.istracamping.com	943
www.sloarbitration.eu	942
spletni2.furs.gov.si	941
www.ess.gov.si	940
www.volvocars.com	940
www.pozitivke.net	938
beautyfullblog.si	936
aquaviva.si	935
ames.si	934
emanat.si	933
www.svetevrope.si	931
www.acs.si	931
www.mikrografija.si	927
podcrto.si	925
dravabike.si	922
www.zurnal24.si	919
www.gw-world.com	918
polleosport.si	915
www.kis.si	915
gea.si	913
www.plavalaguna.com	912
www.muzej-idrija-cerkno.si	911
instore.si	907
www.mks-sticna.si	907
www.gsmaparati.si	905
sandberg.si	904
www.dostop.si	902
galerijafotografija.si	901
www.kolektor.com	899
radiostudent.si	898
www.eracunovodstvo.org	893
www.snt.si	890
casoris.si	889
www.slogi.si	888
www.resalta.si	884
herbio.org	884
ukm.um.si	883
www.prvalekarna.com	883
sciencewithart.ijs.si	881
venofarmacija.si	876
museums.si	873
www.nicelabel.com	869
www.visitkras.info	869
www.pf.uni-lj.si	868
www.mik-ce.si	864
firerescue.de.com	863
www.staratrta.si	861
publishwall.si	859
the-slovenia.com	859
www.bledrose.com	858
www.nuk.uni-lj.si	852
www.hella.com	851
si.missalicecosmetics.com	849
excursions-heju.com	849
www.revivo.si	847
www.travel-slovenia.si	846
www.helios-group.eu	846
www.eca.europa.eu	842
www.sony.si	842
epso.europa.eu	841
isim.zrc-sazu.si	837
simarine-natura.ptice.si	836
www.energetika-portal.si	835
ced-slovenia.eu	833
vsu.ung.si	832
www.coks.si	832
smar-team-org.si	832
www.paysafecard.com	831
sb.nuk.uni-lj.si	831
www.nil.com	831
www.fabjan.com	829
www.lgl.si	827
www.bambino.si	826
priporocam.si	825
www.fkkt.uni-lj.si	824
www.tax-fin-lex.si	824
www.radio1.si	823
www.interseroh.si	823
2016.podim.org	821
mojaleta.si	819
www.leki.com	818
www.ecdr.si	818
www.andivi.si	817
sng-ng.si	815
www.visitsaleska.si	813
www.dpd.com	812
unis.unvienna.org	810
www.kwb.net	808
ckz.si	808
www.spyshop.si	807
dih.um.si	805
www.farmtech.eu	804
veduna.si	803
www.zlatarstvokoman.si	803
openscience.si	802
www.expoaus.org	801
www.herba-medica.si	799
www.supernova-qlandia-novagorica.si	797
predlagam.vladi.si	796
info-slovenija.si	794
www.evro.si	789
www.airth.global	789
nato.gov.si	786
firerescue.eu	785
sloveniaholidays.com	780
www.nek.si	779
www.dz-rs.si	778
mladipodjetnik.si	776
help.libreoffice.org	776
socialnaekonomija.si	775
www.ijs.si	774
www.lynx-pro.com	772
www.mountvacation.si	769
www.borzen.si	768
www.hp.com	767
www.zag.si	766
www.razvoj.si	766
www.enarocanje.si	763
homopolitikus.si	761
www.rigo.si	761
downloadcenter.nikonimglib.com	756
psy.ff.uni-lj.si	755
www.openscience.si	754
www.100letprve.si	754
aas.ff.uni-lj.si	754
flat.si	753
www.hiking-trail.net	753
pomorskimuzej.si	747
pf.um.si	747
www.kulinaricna-dozivetja.eu	747
bio.si	746
sindikat.emanat.si	746
www.svetlobnagverila.net	746
www.silco.si	744
dediscina.zrc-sazu.si	743
www.alpine-pearls.com	742
www.visitpodcetrtek.com	742
tuamv.com	741
dogoteka.si	740
www.uirs.si	739
visitkamnik.com	738
www.yoys.si	733
2011.festivalmaribor.si	732
www.visitkranj.com	732
zemljevid.najdi.si	732
www.ess.si	732
www.disenz.net	731
www.pikto.si	730
www.terme-olimia.com	729
mz-consulting.org	728
lpvo.fe.uni-lj.si	723
kronoterm.com	720
www.berlitz.si	719
www.inpro.pro	717
www.bet-at-home.com	717
www.fsk.si	716
www.adesa.eu	714
www.veduna.si	714
www.stroka.si	713
www.arso.gov.si	710
sl.google-info.org	710
www.avto.info	709
sl.evidentista.org	709
www.tnp.si	709
www.clarin.si	709
www.kozelj.si	706
www.drm.si	705
solvera-lynx.com	701
www.register.si	701
www.3via.org	699
seonet.ljse.si	695
www.stripburger.org	693
lifeslovenija.si	692
izrk.zrc-sazu.si	692
www.notranjski-park.si	687
ezpiz.zpiz.si	684
lindstromgroup.com	683
www.steklenik.si	683
www.mybaby.si	683
ojs.zrc-sazu.si	681
www.ringaraja.net	681
ibmi.mf.uni-lj.si	679
www.roglab.si	678
www.visitizola.com	676
www.bf.uni-lj.si	676
buca.si	675
acfslovenia.si	675
visitsavinjska.com	675
www.didakta.si	675
www.lju-airport.si	675
prostoroz.org	674
psiholoska-obzorja.si	672
ipop.si	671
www.goodyear.eu	666
www.tujerodne-vrste.info	666
nijz.si	664
www.mojekarte.si	664
www.pms-lj.si	661
revije.ff.uni-lj.si	660
adriakombi.si	660
roglab.si	655
www.add.si	652
atlantomed.eu	650
www.nok.si	650
www.pokrajinskimuzejkoper.si	649
promet.si	648
www.sharing.org	648
www.nepremicnine-krk.si	648
help.vojnaplemen.si	646
www.varensvet.si	645
www.vzajemnost.si	644
isn2.zrc-sazu.si	643
www.plasticna-kirurgija.si	642
www.rcke.si	642
www.euro-area-statistics.org	641
www.visitposavje.com	640
lokatrade.com	640
www.zds.si	639
www.muzej-nz.si	638
www.glej.si	635
www.visitcerklje.si	634
www.altstore.si	634
bijh-s.zrc-sazu.si	633
www.flashscore.si	633
www.discoverbrezice.com	632
www.remisens.com	632
www.omega-air.si	630
stara.pina.si	629
sl.strephonsays.com	627
identiks.si	626
www.src.si	625
home.izum.si	625
vestnik.si	624
forum-tezave-pomagajmosi.mojforum.si	622
www.logout.si	620
www.eventus.si	620
www.inovatio.si	618
www.fe.uni-lj.si	618
www.giant-bicycles.com	617
www.4pm.si	617
kudmreza.org	616
www.drowa.si	614
www.lekarna-soca.si	613
pag.si	613
www.mcruk.si	613
bogastvozdravja.si	612
www.zeequest.com	611
www.kc-semic.si	611
www.cona.si	610
av.zrc-sazu.si	609
www.dogoteka.si	608
www.hotel-bb.com	608
char-potovanje.com	608
www.pb-franja.si	608
www.dzrj-lukacec.si	607
www.nordica.com	607
